X,Y,Z,RX,RY,RZ
524.887,165.750,157.843,80.7604,-50.7572,75.0399
519.977,176.812,162.816,24.2927,-54.4888,37.2718
514.108,176.907,163.049,46.1949,-54.7230,43.2497
502.192,176.662,164.712,49.0735,-54.6716,41.0587
484.644,176.992,164.054,11.9851,-49.2119,10.0384
483.591,163.624,160.390,54.9506,-54.2432,55.8916
467.093,177.539,161.187,-10.0000,-43.2640,-86.7212
461.265,178.113,161.553,50.1801,-54.4991,37.4337
451.900,203.895,162.867,-10.0000,24.1597,-63.4930
440.695,247.723,161.519,-10.0000,28.3983,-67.4765
434.221,280.154,157.405,-10.0000,33.8967,-73.3657
420.493,316.336,158.536,-10.0000,18.3450,-58.5603
407.242,162.572,159.583,48.3791,-54.7321,45.9298
395.320,163.296,157.258,50.8278,-54.7272,46.4344
389.386,162.028,160.669,29.4540,-52.0292,19.9590
377.187,163.088,160.826,37.4599,-53.3895,27.1301
367.176,163.622,160.721,46.5278,-54.4789,37.1194
355.477,163.450,161.939,46.0250,-54.2905,34.6408
348.451,164.661,161.498,39.1845,-53.2870,26.4790
336.784,165.777,161.616,45.1211,-53.9607,31.3721
330.911,167.404,160.604,54.0058,-54.4335,36.4545
322.210,169.631,161.141,54.7522,-53.9832,31.5687
313.730,171.355,162.429,65.7733,-54.7350,44.5986
302.759,176.857,159.607,62.2177,-54.4679,36.9530
290.863,179.367,162.568,69.1705,-54.7325,44.1249
279.419,182.902,164.575,85.1989,-54.2275,56.0621
268.443,204.222,157.842,-10.0000,49.0500,9.5744
262.594,555.180,161.361,21.5822,36.1003,-76.0401
247.519,441.936,161.659,50.6694,54.7337,44.3181
241.692,421.509,174.874,43.4294,54.5239,52.1596
250.626,259.073,167.382,56.3124,54.6670,49.0809
262.501,190.610,171.240,57.1698,50.9587,74.3175
273.412,180.046,171.918,56.4167,-52.6411,22.8552
282.912,175.681,172.699,54.6046,-53.2945,26.5254
297.314,173.866,166.907,61.2389,-54.3277,35.0800
307.725,168.369,170.744,52.5365,-53.2293,26.1234
313.470,167.119,168.301,56.6727,-54.0921,32.5659
329.973,163.880,168.251,45.1636,-53.7785,29.8794
337.694,160.184,175.690,31.6173,-53.0284,24.9397
342.416,160.550,173.999,34.2859,-53.2693,26.3688
354.395,162.047,166.897,27.3984,-50.9518,15.6573
365.902,160.025,174.620,16.6871,-49.5438,11.0166
377.628,159.669,174.253,16.2152,-49.6591,11.3652
383.444,160.929,167.343,19.4846,-49.8907,12.0809
393.031,160.303,166.973,17.0488,-49.3651,10.4850
406.731,159.919,167.659,25.2120,-51.7924,18.9389
410.437,158.695,173.254,16.0254,-49.5964,11.1749
425.747,318.831,167.383,-10.0000,16.6153,-57.1811
433.281,294.761,171.191,-10.0000,30.1430,-69.2429
447.051,237.853,170.632,-10.0000,34.2844,-73.8209
456.865,194.290,172.090,-10.0000,29.0053,-68.0816
466.964,174.034,172.068,-3.8943,-43.4454,-2.9530
473.070,177.025,170.844,8.5000,-50.8801,15.3979
489.328,160.137,169.649,35.4645,-53.7316,29.5200
495.149,159.651,169.445,36.9556,-53.2761,26.4111
505.941,159.048,169.567,46.9386,-54.7356,44.9596
513.920,173.486,170.265,16.2338,-53.6867,29.1840
529.342,158.511,173.928,27.0970,-53.0568,25.1022
537.455,173.318,175.559,29.8188,-54.5199,37.7724
549.513,176.097,176.371,14.3596,-50.0723,12.6571
555.222,175.478,167.963,18.0036,-51.1456,16.3728
567.125,176.282,173.377,-7.3934,-46.7161,3.6584
573.025,175.746,173.270,-4.4167,-45.0133,0.0266
583.694,164.207,167.107,60.8994,-53.5797,61.5874
596.598,177.618,174.479,16.0643,-51.6476,18.3381
607.240,164.152,169.521,41.3695,-54.6331,40.0137
613.367,164.721,168.915,41.1876,-54.4251,36.3374
627.129,178.621,176.275,-10.0000,-34.1363,-16.3537
631.799,176.711,170.575,3.2259,-50.6696,14.6528
643.793,179.454,171.321,10.0311,-51.0347,15.9605
654.391,165.541,169.129,22.6691,-52.9596,24.5515
661.646,181.618,173.916,-3.3793,-46.5312,3.2406
673.335,180.782,173.707,-10.0000,-43.0920,-3.5846
689.865,168.293,167.102,53.3540,-54.6614,49.2448
690.837,179.120,173.526,-9.6307,-38.0529,-11.3922
705.319,167.593,167.844,64.9841,-54.4453,53.3785
720.040,176.776,173.086,1.5547,-28.8171,-22.1070
725.869,176.156,173.048,2.2554,-48.2809,7.4769
732.075,180.466,171.391,30.6823,-54.7150,42.7590
746.596,166.829,169.499,59.2235,-53.6886,60.8020
754.736,169.706,167.594,76.5826,-49.6359,78.7054
761.647,182.943,169.367,0.1539,-49.4473,10.7283
773.614,184.575,174.509,31.6388,-54.4675,36.9470
784.496,173.739,168.463,78.0591,-45.5985,88.7773
791.319,186.137,170.213,-3.4533,54.3640,35.5274
802.001,193.577,176.579,-10.0000,48.2834,82.5167
817.654,220.907,169.371,88.1452,-49.3206,79.6456
821.847,227.287,170.966,-10.0000,20.8095,-60.5892
836.170,263.283,171.002,48.1249,-50.8770,15.3869
849.079,299.395,171.060,-10.0000,41.2241,-83.2834
860.027,367.262,173.202,-3.9456,48.3446,82.3558
868.675,416.925,168.819,-10.0000,43.4759,-87.1022
877.590,477.349,173.675,-10.0000,36.4064,-76.4293
879.468,492.026,181.158,-10.0000,43.3264,-86.8327
872.553,431.241,182.711,2.7334,49.5018,79.1094
861.536,376.396,182.495,16.3675,53.4717,62.3286
853.844,338.418,178.000,0.8250,50.0306,77.4766
